Name,House,Year
Sofia Anderson,Eagletalon,1
Natalie Foster,Eagletalon,1
Layla Gomez,Eagletalon,1
Benjamin Scott,Eagletalon,1
John Walker,Eagletalon,1
Emily Diaz,Eagletalon,2
William Gutierrez,Eagletalon,2
Grayson Morales,Eagletalon,2
Theodore Adams,Eagletalon,3
Leo Edwards,Eagletalon,3
Penelope Miller,Eagletalon,3
Elijah Moore,Eagletalon,3
Abigail Hernandez,Eagletalon,4
Savannah Hill,Eagletalon,4
Caleb Moore,Eagletalon,4
Scarlett Ramirez,Eagletalon,4
Hazel Sullivan,Eagletalon,4
Zoey Allen,Eagletalon,5
Harper Brown,Eagletalon,5
Noah Brown,Eagletalon,5
Mateo Myers,Eagletalon,5
Victoria Wood,Eagletalon,5
Layla Cook,Eagletalon,6
Sofia King,Eagletalon,6
Elijah Sanchez,Eagletalon,6
Thomas Sanders,Eagletalon,6
William Young,Eagletalon,6
Jaxon Carter,Eagletalon,7
Andrew Hernandez,Eagletalon,7
Lillian Long,Eagletalon,7
Lillian Thomas,Eagletalon,7
Emily Morales,Eagletalon,8
Ethan Myers,Eagletalon,8
Madison Wilson,Eagletalon,8
Henry Watson,Lannister,1
William Hernandez,Lannister,2
Hazel Lewis,Lannister,2
Olivia Martinez,Lannister,2
Brooklyn Nguyen,Lannister,2
Noah Ortiz,Lannister,2
Lillian Hill,Lannister,3
Avery Flores,Lannister,4
Evelyn Cooper,Lannister,5
Bella Gomez,Lannister,5
Olivia Green,Lannister,5
Aria Hill,Lannister,5
Dylan Myers,Lannister,5
John Rivera,Lannister,5
Wyatt Cooper,Lannister,6
Eleanor Foster,Lannister,6
Olivia Miller,Lannister,6
Jayden Wood,Lannister,6
Chloe Adams,Lannister,7
Avery Rivera,Lannister,7
Leah Smith,Lannister,7
Dylan Hughes,Lannister,8
William Miller,Lannister,8
Evelyn Wright,Lannister,8
Ethan Lewis,Pufflehuff,1
Charlotte Ward,Pufflehuff,1
Benjamin Adams,Pufflehuff,2
Matthew Adams,Pufflehuff,2
Oliver Cox,Pufflehuff,2
Benjamin Gonzalez,Pufflehuff,3
Michael Richardson,Pufflehuff,3
Owen Brooks,Pufflehuff,4
Charlotte Jones,Pufflehuff,4
Isabella Mitchell,Pufflehuff,4
Theodore Murphy,Pufflehuff,4
Sofia Turner,Pufflehuff,4
Noah Butler,Pufflehuff,5
Leah Russell,Pufflehuff,5
Jacob Young,Pufflehuff,5
Carter Adams,Pufflehuff,6
Amelia Cruz,Pufflehuff,6
Nora Diaz,Pufflehuff,6
Aiden Powell,Pufflehuff,6
Zoe Reyes,Pufflehuff,6
John Smith,Pufflehuff,6
Mason Wright,Pufflehuff,6
Henry Gomez,Pufflehuff,7
Henry Brown,Pufflehuff,8
Olivia Clark,Pufflehuff,8
Andrew Moore,Pufflehuff,8
Benjamin Russell,Pufflehuff,8
Samuel Kelly,SNAKES,1
Zoe Nguyen,SNAKES,1
Elizabeth Thompson,SNAKES,1
Olivia Jackson,SNAKES,2
Gabriel Long,SNAKES,2
David White,SNAKES,2
Emma White,SNAKES,2
Samuel Anderson,SNAKES,3
Jayden James,SNAKES,3
Mia Reed,SNAKES,3
Mateo Sullivan,SNAKES,3
Jaxon Ward,SNAKES,3
Audrey Garcia,SNAKES,4
Sofia Garcia,SNAKES,4
Levi Howard,SNAKES,4
Anthony Powell,SNAKES,4
Caleb Lee,SNAKES,6
Emma Miller,SNAKES,6
Madison Mitchell,SNAKES,6
Elizabeth Morgan,SNAKES,6
James Campbell,SNAKES,7
David Scott,SNAKES,7
Asher Gonzalez,SNAKES,8
Sofia Long,SNAKES,8
Daniel Ortiz,SNAKES,8
Liam Ortiz,SNAKES,8
Ava Parker,SNAKES,8
Leah Parker,SNAKES,8
Aurora Reyes,SNAKES,8
Julian Sullivan,SNAKES,8
Nathan Wright,SNAKES,8
