Name,House,Year
Charlotte Adams,SNAKES,1
Olivia Adams,Eagletalon,3
Victoria Adams,Pufflehuff,2
Andrew Allen,Lannister,4
Aria Allen,Pufflehuff,4
Benjamin Allen,SNAKES,8
Leo Allen,SNAKES,1
Stella Allen,SNAKES,2
Luke Bailey,Pufflehuff,5
Daniel Baker,Lannister,3
Ryan Baker,Eagletalon,2
Sophia Baker,Pufflehuff,1
Ethan Barnes,Lannister,5
Michael Barnes,Eagletalon,6
Zoe Barnes,Lannister,4
Gabriel Bell,Eagletalon,3
Mila Bell,Pufflehuff,4
Oliver Bell,Eagletalon,1
Hannah Bennett,Pufflehuff,5
Isaac Bennett,Eagletalon,5
Aria Brown,Eagletalon,5
Emily Brown,SNAKES,1
Lincoln Brown,Pufflehuff,8
Olivia Brown,Eagletalon,4
Owen Brown,Eagletalon,2
Henry Butler,Lannister,3
Amelia Campbell,Lannister,5
Asher Campbell,Pufflehuff,7
Natalie Campbell,Eagletalon,3
Audrey Carter,Eagletalon,1
David Carter,SNAKES,3
Dylan Clark,Pufflehuff,4
Amelia Cook,Eagletalon,1
Chloe Cook,Pufflehuff,1
Emily Cook,Pufflehuff,1
Layla Cook,Pufflehuff,8
Thomas Cooper,SNAKES,8
Victoria Cooper,Eagletalon,2
Aubrey Cox,SNAKES,5
Ava Cruz,Eagletalon,7
Caleb Cruz,Lannister,2
Ellie Cruz,Lannister,6
Ethan Davis,Eagletalon,4
Luke Davis,Eagletalon,6
Natalie Edwards,SNAKES,1
Natalie Evans,Pufflehuff,6
William Evans,Eagletalon,8
Aurora Flores,Lannister,5
Olivia Flores,SNAKES,6
Dylan Foster,Eagletalon,2
Andrew Garcia,Eagletalon,2
Emily Garcia,Lannister,2
Matthew Garcia,Pufflehuff,7
Sofia Garcia,SNAKES,2
Audrey Gray,Eagletalon,3
Madison Gray,Lannister,6
Abigail Green,Eagletalon,2
Elizabeth Green,SNAKES,6
Brooklyn Gutierrez,Lannister,4
Owen Gutierrez,SNAKES,7
Alexander Hall,Eagletalon,6
Dylan Hall,SNAKES,3
William Hall,Eagletalon,8
Anthony Harris,Lannister,8
Asher Harris,Pufflehuff,7
Claire Harris,Pufflehuff,4
Theodore Harris,Eagletalon,1
Camila Hernandez,Pufflehuff,4
Isaac Hernandez,Lannister,1
Zoe Hernandez,Eagletalon,1
Samuel Hill,Eagletalon,5
Avery Hughes,Lannister,1
Aiden James,Lannister,3
Charlotte James,Pufflehuff,8
James James,Lannister,1
Joseph James,Pufflehuff,4
Anthony Jenkins,Pufflehuff,5
Matthew Jenkins,Pufflehuff,7
Aria Johnson,Pufflehuff,4
Brooklyn Johnson,Eagletalon,6
Sofia Johnson,SNAKES,7
Sophia Johnson,Pufflehuff,1
Wyatt Johnson,Pufflehuff,4
Claire Jones,SNAKES,8
Zoe Jones,Pufflehuff,2
Christopher Lee,Eagletalon,3
Jaxon Lee,Eagletalon,5
Sofia Lewis,Eagletalon,8
Asher Long,Pufflehuff,6
Logan Lopez,Eagletalon,3
Lucas Lopez,Lannister,6
Emily Martin,SNAKES,7
Jackson Martin,Pufflehuff,5
Chloe Martinez,SNAKES,8
Alexander Miller,Pufflehuff,8
Penelope Mitchell,SNAKES,5
Samuel Mitchell,Lannister,1
Zoe Mitchell,SNAKES,1
Dylan Moore,Pufflehuff,3
Isabella Morgan,Lannister,7
Leo Morgan,Lannister,3
Noah Morris,Pufflehuff,1
Victoria Morris,SNAKES,3
John Murphy,SNAKES,6
Thomas Murphy,Lannister,3
Jayden Myers,SNAKES,3
Ella Nelson,Lannister,8
Mila Nelson,SNAKES,4
Grace Nguyen,SNAKES,3
Levi Nguyen,Eagletalon,8
Ethan Ortiz,SNAKES,5
Levi Parker,Lannister,6
Abigail Perez,Pufflehuff,7
Audrey Perez,SNAKES,2
Mason Perez,Pufflehuff,2
Mateo Perez,Eagletalon,6
Carter Perry,Eagletalon,4
Julian Perry,SNAKES,1
Addison Peterson,Lannister,6
Jack Peterson,SNAKES,2
Zoe Peterson,Eagletalon,2
Leah Phillips,Pufflehuff,5
Harper Powell,Lannister,4
Alexander Price,Lannister,5
Jayden Price,Pufflehuff,1
Lincoln Price,SNAKES,5
Lucas Price,SNAKES,5
Noah Price,Eagletalon,7
Ava Ramirez,SNAKES,4
Carter Ramirez,Eagletalon,5
Claire Reyes,Eagletalon,8
Emma Reyes,Eagletalon,2
Addison Richardson,Lannister,4
Julian Richardson,SNAKES,4
Daniel Rivera,SNAKES,6
Elizabeth Rodriguez,Lannister,8
Leah Rodriguez,Eagletalon,6
Oliver Rogers,Eagletalon,7
Ava Russell,Pufflehuff,1
Mila Russell,Eagletalon,1
Riley Sanchez,Lannister,1
Samuel Sanchez,Lannister,1
Gabriel Sanders,Eagletalon,1
Oliver Sanders,Lannister,8
Zoey Sanders,Eagletalon,8
Ethan Scott,Lannister,4
John Smith,Lannister,6
Sofia Smith,Pufflehuff,5
Emily Stewart,Pufflehuff,7
Stella Taylor,Eagletalon,4
Asher Thomas,SNAKES,7
Bella Thomas,Eagletalon,6
Jack Thompson,SNAKES,6
Owen Thompson,Lannister,1
Jayden Torres,Pufflehuff,5
Lucas Walker,Lannister,2
Skylar Walker,Pufflehuff,3
Addison Ward,Eagletalon,2
Luna Ward,Pufflehuff,6
Nora Ward,Eagletalon,7
Nora White,Eagletalon,5
Samuel White,Pufflehuff,2
Charlotte Williams,Eagletalon,1
Brooklyn Wilson,Eagletalon,4
Evelyn Wood,Pufflehuff,1
James Wright,SNAKES,7
Lucas Wright,SNAKES,2
Charlotte Young,Lannister,2
Matthew Young,Pufflehuff,1
Mila Young,SNAKES,6
